id,society_id,term_id,fecha_factura,fecha_vencimiento,subtotal,impuesto,total,estado,numero_factura,nota_cliente
90e2bdf1-8541-4e23-8ec1-54fc2fe1b7fd,43890543-ccf2-4ea6-9b6d-01c1ec91957e,,2026-01-16,2026-01-17,1200.0,0.0,1200.0,pendiente,000001,
b335a7ee-27e0-4641-ab7e-a82e38b4e599,02befbad-c3f5-4455-b7ab-e53eceac1d20,,2026-01-16,2026-01-17,285.0,5.25,290.25,pendiente,000002,
f6eaf695-59ca-4c8d-89ca-6bd07d55a1cf,5600d760-bcd2-43a3-b4ea-0bc91922cf32,,2026-02-19,2026-02-28,350.0,10.5,360.5,pendiente,000003,
fa64eb90-1224-4b1d-9b78-0b5309a9bf4c,02befbad-c3f5-4455-b7ab-e53eceac1d20,,2026-02-20,2026-02-27,0.0,0.0,0.0,pendiente,000004,
05b1522e-eb3c-4e9b-8775-aab045c6b504,,,2026-02-20,2026-02-27,475.0,17.5,492.5,pendiente,000005,
17658fa1-3110-45d8-abb9-977ed378d9e7,5c292b8c-9963-486b-81b7-b39fa650c380,,2026-02-24,2026-03-24,385.0,17.5,402.5,pendiente,000006,
db4f2da2-444c-456d-b13f-4fbd857a0232,dc360e7f-2d00-49dc-8f7a-bc2211aeb7ad,,2026-02-25,2026-02-25,413.0,8.75,421.75,pendiente,000007,
8f8820da-362f-44d0-9f1e-9a7d87ec024e,71a0884d-774e-490f-a01e-563e3821ac1b,,2026-02-25,2026-02-25,450.0,21.0,471.0,pendiente,000008,
9d384c80-6d73-4fa7-a4ae-1e26941ce52f,,,2026-02-27,2026-02-28,248.0,3.5,251.5,pendiente,000009,
